mineral;formula
Goethitee;FeOOH
Hematite;Fe2O3
Limonite;2Fe2O3.3(H2O)
Calcite;CaCO3
Dolomite;CaMg(CO3)2
Siderite;FeCO3
Gypsum;CaSO4.2(H2O)
Anhydrite;CaSO4
Fluorite;CaF2
Sphalerite;ZnS
Hydroxylapatite;Ca5(PO4)3(OH)
Sodiumchlorid;NaCl
Aluminiumhydroxid;Al(OH)3
Albite;NaAlSi3O8
Alunite;KAl3(SO4)2(OH)6
Anglesite;PbSO4
Anorthite;CaAl2Si2O8 
Barite;BaSO4
K-feldspar;KAlSi3O8
Kaolinite;Al2Si2O5(OH)4
Chrysotile;Mg3Si2O5(OH)4
Alunite;KAl3(OH)6(SO4)2
Aragonite;CaCO3
Kaolinite;Al2Si2O5(OH)4
Alum-K;KAl(SO4)2.12(H2O)
Mirabilite;Na2SO4.10(H2O)
Natron;Na2CO3.10(H2O)
Halite;NaCl
Akermanite;Ca2MgSi2O7
Anthophyllite;Mg7Si8O22(OH)2
Antigorite;Mg48Si34O85(OH)62
Arcanite;K2SO4
Bischofite;MgCl2
Bloedite;Na2Mg(SO4)2.4(H2O)
Brucite;Mg(OH)2
Burkeite;Na6CO3(SO4)2
Carnallite;KMgCl3.6(H2O)
Celestite;SrSO4
Chalcedony;SiO2
Chrysotile;Mg3Si2O5(OH)4
Diopside;CaMgSi2O6
Enstatite;MgSiO3
Epsomite;MgSO4.7(H2O)
Forsterite;Mg2SiO4
Gaylussite;CaNa2(CO3)2.5(H2O)
Glaserite;NaK3(SO4)2
Glauberite;Na2Ca(SO4)2
Goergeyite;K2Ca5(SO4)6H2O
Hexahydrite;MgSO4:6H2O
Huntite;CaMg3(CO3)4
Kainite;KMgClSO4:3H2O
Kieserite;MgSO4.H2O)
Leonhardite;MgSO4.4(H2O)
Magnesite;MgCO3
Misenite;K8H6(SO4)7
Nahcolite;NaHCO3
Nesquehonite;MgCO3.3(H2O)
Pentahydrite;MgSO4.5(H2O)
Pirssonite;Na2Ca(CO3)2.2(H2O)
Polyhalite:K2MgCa2(SO4)4.2(H2O)
Portlandite;Ca(OH)2
Quartz;SiO2
Schoenite;K2Mg(SO4)2.6(H2O)
Sepiolite;Mg2Si3O7.5(OH).3(H2O)
Sylvite;KCl
Syngenite;K2Ca(SO4)2.H2O
Talc;Mg3Si4O10(OH)2
Thenardite;Na2SO4
Trona;Na3H(CO3)2.2(H2O)
Borax;Na2(B4O5(OH)4).8(H2O)
