station;sample_date;NH4;as;ca;cl;doc;f;hard_tot;k;alk;cu;cond;mg;mn;na;ni;no3_n;o2;o2_sat;n_tot;so4;wa_temp;zn;ph;latitude;longitude;type;constr_year;bedrock_geology;surface_elev_masl;wl_elev_masl
F_0432;1994-02-28;;;38.8;10.8;0.7;0.21;7.0;2.5;104.64202;;299.0;6.2;;14.3;;3.7;7.9;77.0;;26.0;14.1;3.5;6.92;47.59577855303679;7.650238000585896;;;;;
F_0432;1994-04-26;;;33.6;10.4;0.7;0.046;6.22;1.5;93.03497;;285.0;5.1;;12.8;;3.22;7.7;;;21.6;;9.0;7.01;47.59577855303679;7.650238000585896;;;;;
F_0432;1994-07-26;;;53.5;10.2;0.6;0.18;7.83;1.8;134.46321;;300.0;6.4;;13.6;;2.81;8.1;;;20.9;;14.7;7.25;47.59577855303679;7.650238000585896;;;;;
F_0432;1994-10-25;;;43.0;12.4;0.5;0.22;7.5;2.2;110.35625999999999;;351.0;6.8;;13.8;;3.18;7.5;71.3;;27.6;13.0;1.3;7.3;47.59577855303679;7.650238000585896;;;;;
F_0432;1995-03-07;;;39.7;10.2;0.7;0.154;6.84;2.37;98.03493;;378.0;6.7;;14.0;;4.0;6.9;64.5;;25.7;12.3;3.3;7.09;47.59577855303679;7.650238000585896;;;;;
F_0432;1995-05-09;;;48.8;11.9;0.6;0.2;7.48;2.1;102.49918;;331.0;7.5;;15.0;;3.66;7.5;71.3;;28.6;13.0;6.0;6.91;47.59577855303679;7.650238000585896;;;;;
F_0432;1995-07-04;;;39.0;12.7;1.1;0.36;7.46;2.3;106.60628999999999;;305.0;6.6;;12.3;;3.68;6.3;61.9;;30.6;14.5;1.8;6.91;47.59577855303679;7.650238000585896;;;;;
F_0432;1995-11-07;;;42.7;13.0;0.8;0.31;8.0;2.0;115.35622;;332.0;7.6;;13.4;;3.3;6.0;57.4;;31.4;13.3;4.6;6.67;47.59577855303679;7.650238000585896;;;;;
F_0432;1996-03-05;;;42.4;11.6;0.6;0.25;7.56;2.0;105.71343999999999;;306.0;6.6;;13.6;;3.42;6.9;64.5;;28.5;12.3;8.1;7.23;47.59577855303679;7.650238000585896;;;;;
F_0432;1996-05-07;;;41.7;11.6;0.7;0.205;7.87;2.2;111.07054;;339.0;7.3;;14.0;;3.77;7.2;68.6;;32.0;13.1;1.7;7.12;47.59577855303679;7.650238000585896;;;;;
F_0432;1996-09-10;;;39.4;14.4;0.7;0.2;7.94;1.9;109.82055;;336.0;6.5;;12.4;;3.31;6.6;64.0;;29.3;13.9;2.0;6.91;47.59577855303679;7.650238000585896;;;;;
F_0432;1996-11-05;;;44.3;14.8;0.6;0.203;8.25;1.9;117.14191999999998;;314.0;7.6;;14.5;;3.57;5.9;56.2;;33.6;13.1;13.2;6.91;47.59577855303679;7.650238000585896;;;;;
F_0432;1997-02-11;;;38.9;12.9;0.7;0.22;7.34;1.8;109.10627;;318.0;6.7;;13.5;;3.53;7.1;66.7;;27.4;12.5;5.4;6.88;47.59577855303679;7.650238000585896;;;;;
F_0432;1997-05-06;;;36.4;13.5;0.3;0.09;7.64;2.1;107.67771;;321.0;7.0;;13.0;;3.45;7.0;66.7;;37.7;13.1;5.2;6.82;47.59577855303679;7.650238000585896;;;;;
F_0432;1997-09-02;;;40.4;14.1;0.5;0.2;7.67;2.0;107.49913999999998;;333.0;6.9;;12.3;;3.61;6.1;60.0;;29.6;14.2;5.4;6.86;47.59577855303679;7.650238000585896;;;;;
F_0432;1997-11-04;;;42.0;15.0;0.5;0.191;8.71;2.4;116.78478;;350.0;8.0;;15.5;;3.81;6.1;57.8;;35.0;12.9;5.9;7.07;47.59577855303679;7.650238000585896;;;;;
F_0432;1998-03-25;;;41.3;14.9;0.5;0.166;7.78;1.7;110.7134;;345.0;7.1;;12.3;;4.1;6.7;64.4;;34.2;13.5;3.6;6.92;47.59577855303679;7.650238000585896;;;;;
F_0432;1998-05-12;;;43.8;16.6;0.5;0.16;8.5;2.0;120.17761;;361.0;7.9;;13.5;;4.89;6.8;65.0;;40.9;13.2;13.0;7.03;47.59577855303679;7.650238000585896;;;;;
F_0432;1998-07-07;;;40.5;15.4;0.6;0.145;8.05;1.8;111.78482;;368.0;7.4;;13.3;;4.17;6.7;65.6;;35.8;14.3;4.2;7.2;47.59577855303679;7.650238000585896;;;;;
F_0432;1998-09-08;;;42.1;14.9;0.4;0.216;8.1;1.5;110.7134;;365.0;7.6;;10.9;;3.68;6.0;57.5;;35.2;13.4;4.3;6.88;47.59577855303679;7.650238000585896;;;;;
F_0432;1998-11-03;;;48.6;14.5;0.7;0.219;8.4;1.4;116.0705;;337.0;8.0;;10.4;;3.59;6.0;57.1;;32.7;13.1;4.0;7.14;47.59577855303679;7.650238000585896;;;;;
F_0432;1999-03-23;;;;18.6;0.6;0.226;9.0;;114.2848;;378.0;;;;;4.64;6.5;62.0;;44.6;13.1;6.6;7.0;47.59577855303679;7.650238000585896;;;;;
F_0432;1999-05-05;;;;20.4;0.4;0.225;;;;;364.0;;;;;4.83;7.3;69.0;;43.3;12.6;;7.0;47.59577855303679;7.650238000585896;;;;;
F_0432;1999-07-07;;;49.3;18.3;0.5;0.198;9.2;2.6;112.4991;;394.0;8.5;;15.0;;4.42;6.3;60.0;;39.8;13.2;6.3;6.89;47.59577855303679;7.650238000585896;;;;;
F_0432;1999-09-07;;;40.9;19.0;0.6;0.134;9.1;2.2;121.4276;;389.0;8.6;;14.2;;3.5;5.6;53.8;;40.9;13.5;4.5;6.82;47.59577855303679;7.650238000585896;;;;;
F_0432;1999-11-02;;;47.4;18.8;0.6;0.117;10.2;1.7;124.999;;415.0;8.7;;14.6;;3.71;6.1;60.0;;39.4;13.8;9.9;6.89;47.59577855303679;7.650238000585896;;;;;
F_0432;2000-05-09;;;50.3;19.5;0.6;;10.4;2.2;124.999;;440.0;9.9;;14.4;;4.44;6.8;64.9;;47.4;13.2;8.4;7.01;47.59577855303679;7.650238000585896;;;;;
F_0432;2000-09-18;;;51.3;15.9;0.4;0.148;9.75;2.1;124.999;;400.0;9.0;;13.2;;4.0;6.6;63.7;;38.0;13.6;3.6;6.94;47.59577855303679;7.650238000585896;;;;;
F_0432;2001-04-04;;;52.0;17.7;0.6;0.144;11.0;1.8;124.999;;430.0;8.9;;13.2;;4.13;6.81;65.0;;50.4;13.2;4.6;7.2;47.59577855303679;7.650238000585896;;;;;
F_0432;2001-09-04;;;61.0;18.0;0.4;0.197;10.9;2.2;135.7132;;442.0;9.6;;15.6;;3.82;6.6;64.0;;45.5;13.8;2.8;6.9;47.59577855303679;7.650238000585896;;;;;
F_0432;2002-04-17;;;47.3;13.4;0.4;0.224;8.5;1.8;114.2848;;363.0;7.6;;13.3;;2.91;7.53;72.0;;36.8;13.5;4.4;7.06;47.59577855303679;7.650238000585896;;;;;
F_0432;2002-10-29;;;50.8;12.7;0.6;0.178;9.0;2.0;128.5704;;412.0;8.2;;12.5;;2.92;5.56;51.5;;30.5;12.9;2.7;6.89;47.59577855303679;7.650238000585896;;;;;
F_0432;2003-05-19;;;61.5;19.6;0.69;0.238;11.3;2.25;141.78458;;462.0;10.2;;16.3;;3.94;7.52;72.0;3.9;49.0;13.3;2.1;6.93;47.59577855303679;7.650238000585896;;;;;
F_0432;2003-11-05;;;54.4;16.2;;0.226;9.74;2.14;133.9275;;406.0;9.1;;14.3;;2.83;9.13;86.0;3.1;39.2;12.7;1.1;6.95;47.59577855303679;7.650238000585896;;;;;
F_0432;2004-05-04;;;41.7;12.9;0.42;0.181;7.53;1.97;105.17773;;325.0;6.8;;11.6;;2.89;11.0;104.0;;26.3;12.6;;6.91;47.59577855303679;7.650238000585896;;;;;
F_0432;2004-11-08;;;44.9;12.8;0.51;0.166;8.06;1.93;113.57052;;300.0;7.4;;12.5;;2.77;10.5;99.1;;26.5;12.5;;7.95;47.59577855303679;7.650238000585896;;;;;
F_0432;2005-05-18;;;47.7;19.0;0.5;0.238;8.66;2.6;112.85624;;374.0;8.0;;13.3;;3.44;9.1;89.1;;32.8;13.1;1.2;6.84;47.59577855303679;7.650238000585896;;;;;
F_0432;2005-08-16;;;49.9;19.3;0.44;0.337;9.2;2.02;123.03473;;389.0;8.5;;13.5;;3.34;7.4;73.7;;33.7;13.4;2.4;6.76;47.59577855303679;7.650238000585896;;;;;
F_0432;2006-02-06;;;51.1;19.2;0.37;0.185;9.33;2.02;126.07041999999998;;390.0;8.5;;13.9;;3.2;10.3;97.0;3.0;37.2;12.2;1.8;7.06;47.59577855303679;7.650238000585896;;;;;
